ID,Name,BestPosition,Overall,Nationality,Crossing,Finishing,HeadingAccuracy,Acceleration,GKReflexes,DefensiveAwareness
15488,L. Hrádecký,GK,83.0,Finland,11.0,11.0,11.0,38.0,87.0,10.0
15292,S. Sirigu,GK,82.0,Italy,13.0,10.0,11.0,46.0,80.0,14.0
15262,Y. Bounou,GK,82.0,Morocco,15.0,14.0,14.0,37.0,84.0,20.0
15217,O. Baumann,GK,82.0,Germany,14.0,11.0,16.0,47.0,82.0,15.0
15215,L. Fabiański,GK,82.0,Poland,14.0,13.0,11.0,50.0,82.0,14.0
15136,Unai Simón,GK,82.0,Spain,16.0,14.0,18.0,46.0,84.0,11.0
14905,Neto,GK,82.0,Brazil,11.0,15.0,14.0,56.0,81.0,17.0
14615,A. Lopes,GK,82.0,Portugal,19.0,18.0,16.0,63.0,86.0,13.0
15118,S. Handanovič,GK,86.0,Slovenia,12.0,10.0,10.0,45.0,87.0,25.0
14896,D. Livaković,GK,82.0,Croatia,13.0,12.0,13.0,57.0,85.0,24.0
14680,Rui Patrício,GK,82.0,Portugal,12.0,12.0,11.0,53.0,83.0,14.0
15026,K. Casteels,GK,86.0,Belgium,15.0,15.0,14.0,44.0,87.0,11.0
14742,K. Schmeichel,GK,85.0,Denmark,18.0,12.0,16.0,45.0,90.0,14.0
14679,Sergio Asenjo,GK,83.0,Spain,24.0,14.0,13.0,59.0,83.0,24.0
15158,N. Pope,GK,83.0,England,11.0,14.0,11.0,50.0,84.0,14.0
14087,K. Navas,GK,88.0,Costa Rica,11.0,15.0,11.0,54.0,89.0,28.0
12350,M. Neuer,GK,90.0,Germany,15.0,13.0,25.0,54.0,88.0,17.0
15618,E. Mendy,GK,83.0,Senegal,10.0,5.0,10.0,36.0,84.0,10.0
15304,K. Trapp,GK,82.0,Germany,13.0,13.0,11.0,45.0,84.0,15.0
14455,Alisson,GK,89.0,Brazil,17.0,13.0,29.0,56.0,89.0,15.0
14991,W. Szczęsny,GK,87.0,Poland,12.0,12.0,16.0,51.0,88.0,20.0
13109,J. Pickford,GK,83.0,England,17.0,19.0,15.0,53.0,86.0,21.0
14608,G. Donnarumma,GK,89.0,Italy,12.0,12.0,12.0,50.0,90.0,20.0
14244,J. Oblak,GK,91.0,Slovenia,13.0,11.0,15.0,43.0,90.0,27.0
13832,E. Martínez,GK,84.0,Argentina,22.0,16.0,26.0,59.0,85.0,11.0
13755,M. Maignan,GK,84.0,France,18.0,15.0,17.0,49.0,86.0,23.0
14644,H. Lloris,GK,87.0,France,13.0,10.0,10.0,61.0,90.0,29.0
13177,21 A. Onana,GK,84.0,Cameroon,15.0,12.0,20.0,64.0,86.0,12.0
14758,Y. Sommer,GK,85.0,Switzerland,13.0,13.0,10.0,48.0,86.0,9.0
15056,P. Gulácsi,GK,85.0,Hungary,16.0,10.0,23.0,42.0,86.0,25.0
14134,De Gea,GK,84.0,Spain,17.0,13.0,21.0,57.0,87.0,25.0
13890,M. ter Stegen,GK,90.0,Germany,18.0,14.0,11.0,38.0,90.0,25.0
14753,B. Leno,GK,83.0,Germany,9.0,9.0,13.0,55.0,85.0,27.0
14937,T. Courtois,GK,89.0,Belgium,14.0,14.0,13.0,42.0,88.0,20.0
11192,Ederson,GK,89.0,Brazil,20.0,14.0,14.0,64.0,88.0,29.0
9372,K. Manolas,DEF,83.0,Greece,27.0,25.0,80.0,77.0,12.0,85.0
4682,S. Coates,DEF,83.0,Uruguay,17.0,55.0,82.0,65.0,13.0,85.0
241,V. van Dijk,DEF,89.0,Netherlands,53.0,52.0,87.0,66.0,11.0,92.0
7835,K. Koulibaly,DEF,86.0,Senegal,30.0,22.0,84.0,74.0,5.0,90.0
2546,C. Lenglet,DEF,82.0,France,55.0,39.0,81.0,73.0,7.0,83.0
853,Mario Hermoso,DEF,82.0,Spain,71.0,42.0,79.0,73.0,8.0,83.0
2754,Rúben Dias,DEF,87.0,Portugal,54.0,29.0,87.0,57.0,12.0,90.0
371,Marquinhos,DEF,87.0,Brazil,68.0,51.0,88.0,81.0,13.0,89.0
12,Sergio Ramos,DEF,88.0,Spain,66.0,65.0,92.0,71.0,11.0,84.0
2389,S. Kjær,DEF,83.0,Denmark,50.0,55.0,81.0,63.0,15.0,87.0
266,D. Blind,DEF,82.0,Netherlands,80.0,60.0,76.0,48.0,10.0,83.0
755,Éder Militão,DEF,82.0,Brazil,72.0,48.0,81.0,81.0,15.0,83.0
1905,Diego Carlos,DEF,82.0,Brazil,35.0,32.0,79.0,77.0,11.0,83.0
3091,J. Matip,DEF,83.0,Cameroon,54.0,36.0,84.0,50.0,10.0,86.0
2241,20 E. Garay,DEF,83.0,Argentina,62.0,51.0,81.0,40.0,14.0,82.0
3560,G. Chiellini,DEF,86.0,Italy,63.0,33.0,77.0,67.0,3.0,93.0
1897,R. Varane,DEF,86.0,France,42.0,46.0,86.0,79.0,14.0,86.0
556,M. Hummels,DEF,86.0,Germany,65.0,57.0,88.0,47.0,6.0,90.0
2451,A. Rüdiger,DEF,83.0,Germany,68.0,32.0,81.0,64.0,8.0,85.0
2783,Josué Chiamulera,DEF,82.0,Brazil,40.0,38.0,83.0,80.0,10.0,85.0
2198,J. Koundé,DEF,83.0,France,45.0,47.0,79.0,81.0,13.0,85.0
1199,A. Laporte,DEF,86.0,Spain,58.0,45.0,84.0,59.0,5.0,86.0
167,L. Shaw,DEF,84.0,England,85.0,44.0,78.0,76.0,7.0,83.0
32,Jordi Alba,DEF,86.0,Spain,85.0,73.0,70.0,87.0,13.0,74.0
